Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Sh,SoT,SoT%,PK,PKatt,CrdY,CrdR,Fls,Crs,OG,2CrdY,performance_index
Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,34.0,1991.0,16,12,1189,13.2,7,2,28.6,0,0,0,0,7,9,0,0,-0.6001580194458063
Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24.0,2001.0,25,22,2075,23.1,13,5,38.5,0,0,4,0,13,1,1,0,-0.11345884386697727
Nnamdi Collins,de GER,DF,Eintracht Frankfurt,de Bundesliga,22.0,2004.0,20,13,1257,14.0,2,1,50.0,0,0,4,0,19,4,0,0,0.7642436503652499
Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,29.0,1997.0,20,17,1493,16.6,12,2,16.7,0,0,5,0,33,47,0,0,-0.3848096689713077
Lorenzo Colombo,it ITA,FW,Genoa,it Serie A,23.0,2002.0,27,21,1646,18.3,48,20,41.7,0,1,1,0,31,10,0,0,0.28970262743321296
Santi Comesaña,es ESP,MF,Villarreal,es La Liga,29.0,1996.0,24,19,1637,18.2,20,5,25.0,0,0,4,1,27,11,0,0,0.16031123279713405
Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,21.0,2005.0,19,16,1378,15.3,9,2,22.2,0,0,2,0,20,1,0,0,-0.4584677269863734
Francisco Conceição,pt POR,"MF,FW",Juventus,it Serie A,23.0,2002.0,20,16,1230,13.7,39,14,35.9,0,0,2,0,22,54,0,0,-0.020116242690314756
Félix Correia,pt POR,MF,Lille,fr Ligue 1,25.0,2001.0,24,17,1392,15.5,25,5,20.0,0,0,1,0,8,69,0,0,0.1909227416394393
Thierry Correia,pt POR,"DF,MF",Valencia,es La Liga,26.0,1999.0,17,13,1064,11.8,4,1,25.0,0,0,4,0,22,29,0,0,-0.5033710687123262
Danny da Costa,de GER,"DF,MF",Mainz 05,de Bundesliga,32.0,1993.0,24,21,1933,21.5,9,4,44.4,0,0,3,0,20,40,1,0,-0.01152171607630155
Samu Costa,pt POR,MF,Mallorca,es La Liga,25.0,2000.0,23,20,1776,19.7,21,9,42.9,0,0,8,0,45,20,0,0,0.5934730267276134
Vladimír Coufal,cz CZE,"DF,MF",Hoffenheim,de Bundesliga,33.0,1992.0,24,24,2144,23.8,18,4,22.2,0,0,3,0,19,132,0,0,0.6197186180242219
Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18.0,2007.0,21,20,1730,19.2,6,1,16.7,0,0,5,1,16,11,1,1,-0.35664285516020783
Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,29.0,1996.0,23,22,1903,21.1,16,7,43.8,0,0,3,0,17,10,0,0,0.20616477822465804
Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21.0,2004.0,16,12,976,10.8,6,4,66.7,0,0,5,1,24,8,0,0,0.5734597498971814
Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,22.0,2003.0,12,12,1063,11.8,6,2,33.3,0,0,3,0,19,1,1,0,-0.7294919652525362
Yan Couto,br BRA,MF,Dortmund,de Bundesliga,23.0,2002.0,15,11,952,10.6,8,3,37.5,0,0,4,0,13,50,0,0,-0.22898332581959258
Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23.0,2002.0,24,24,2160,24.0,31,9,29.0,0,0,6,0,28,1,0,0,0.07116732157861018
Bryan Cristante,it ITA,MF,Roma,it Serie A,30.0,1995.0,26,26,2181,24.2,32,8,25.0,0,0,5,0,43,13,0,0,-0.09725887218186226
Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,19.0,2007.0,21,21,1832,20.4,9,2,22.2,0,0,1,0,18,0,0,0,-0.3364276332812735
Cucho,co COL,FW,Real Betis,es La Liga,26.0,1999.0,21,20,1759,19.5,59,15,25.4,1,1,2,0,17,14,0,0,0.3937977608170881
Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27.0,1998.0,24,22,1885,20.9,15,4,26.7,0,0,5,1,32,24,0,0,0.2042249316148555
